"especie";"altura_cm";"peso_kg";"tamanho_cranio_cm";"genero";"dia_semana_coleta"
"chimpanzé";82.6;47.8;29.6;"feminino";5
"bonobo";69.6;37.6;28.3;"feminino";2
"chimpanzé";91.9;49.5;32.7;"masculino";6
"chimpanzé";83.2;62;30.3;"masculino";7
"chimpanzé";80.3;44.3;28.7;"feminino";4
"chimpanzé";88.1;52.2;33.4;"masculino";2
"chimpanzé";95.7;50;31.1;"masculino";1
"bonobo";67.6;44.3;28.4;"masculino";5
"bonobo";73.7;40.1;26.9;"feminino";4
"bonobo";78.7;40.8;27.7;"feminino";4
"chimpanzé";83.2;44.7;30.7;"feminino";3
"chimpanzé";85.3;52;33.2;"masculino";3
"chimpanzé";82.9;47.9;29;"feminino";7
"bonobo";72.8;36.5;27.7;"feminino";1
"chimpanzé";83.7;53.3;31;"masculino";6
"bonobo";67.7;38.7;30.7;"masculino";5
"bonobo";72.7;38.3;27;"feminino";3
"bonobo";75;42.1;27.6;"feminino";6
"chimpanzé";81.9;49.1;31.6;"feminino";3
"bonobo";73.6;41;27.9;"feminino";5
"chimpanzé";78.1;50.2;28.1;"feminino";3
"chimpanzé";86.8;52.8;31.7;"masculino";7
"bonobo";64.3;34.5;26.5;"feminino";5
"chimpanzé";79.6;44.9;29.2;"feminino";3
"bonobo";79;43.2;27.8;"feminino";2
"bonobo";77.7;37.2;26.4;"masculino";6
"chimpanzé";90.8;48.4;34.3;"masculino";7
"bonobo";79.5;33.6;28.9;"feminino";1
"chimpanzé";75.4;49.6;27.8;"feminino";1
"bonobo";71.1;37.8;26.4;"feminino";3
"chimpanzé";79.4;48.8;29.4;"feminino";1
"bonobo";70.9;37.2;26.4;"feminino";7
"chimpanzé";87.4;47.9;31.9;"masculino";3
"bonobo";67.6;36.8;28.4;"feminino";5
"chimpanzé";86.8;52.1;33.2;"masculino";4
"chimpanzé";80.9;51.6;29.8;"feminino";7
"chimpanzé";80;46;31.6;"feminino";1
"chimpanzé";77.9;45.2;32.6;"feminino";5
"bonobo";70.5;40.9;26.4;"feminino";6
"bonobo";77.9;40.3;31.2;"masculino";2
"bonobo";78.6;36.8;28.5;"masculino";7
"chimpanzé";79.1;49.2;27.5;"feminino";2
"chimpanzé";90.6;47.2;32.4;"masculino";3
"bonobo";79.2;42.5;28.6;"masculino";6
"chimpanzé";89;51.7;31.3;"masculino";7
"chimpanzé";83.6;43.3;29.3;"feminino";5
"chimpanzé";80.8;44;30.1;"feminino";1
"chimpanzé";86.9;58.4;32.5;"masculino";7
"chimpanzé";81;47.3;34;"masculino";2
"chimpanzé";86.6;47.8;32.5;"masculino";2
"chimpanzé";86.8;40.2;30.7;"feminino";1
"chimpanzé";93.2;51.5;30.9;"masculino";1
"chimpanzé";88.3;51.8;30.6;"masculino";7
"chimpanzé";87.9;53.1;31.4;"masculino";3
"chimpanzé";93.1;53.2;31.6;"masculino";2
"chimpanzé";82.9;48.4;33;"masculino";5
"chimpanzé";83.1;41.8;32.1;"feminino";6
"chimpanzé";89.7;48.3;33.5;"masculino";1
"bonobo";77.5;42.8;28.3;"masculino";6
"chimpanzé";85.3;51.7;30.7;"masculino";4
"chimpanzé";89.3;55.5;31.4;"masculino";2
"bonobo";71.9;40.6;27.4;"feminino";3
"chimpanzé";87.1;48.9;32.5;"masculino";3
"bonobo";78.6;41.5;27.8;"masculino";5
"bonobo";79.3;38.4;28.8;"masculino";2
"chimpanzé";82.7;44.8;32.6;"feminino";5
"bonobo";72.7;34.6;27;"feminino";5
"bonobo";79.5;35.5;27.4;"feminino";5
"chimpanzé";81.3;50.1;26.8;"feminino";3
"bonobo";74;33.2;25.5;"feminino";7
"chimpanzé";88;55.3;31.9;"masculino";5
"chimpanzé";86.9;58.5;29.4;"masculino";5
"chimpanzé";84.2;55.8;31.5;"masculino";3
"chimpanzé";84.3;43;32.7;"feminino";7
"bonobo";70.1;40.8;28.6;"feminino";1
"bonobo";75.3;39.5;29.5;"masculino";7
"bonobo";74.3;40.8;28.3;"feminino";6
"bonobo";70.4;37.6;28.8;"masculino";7
"chimpanzé";89.5;55.3;33.7;"masculino";2
"bonobo";69.9;41;26.6;"feminino";6
"chimpanzé";91.5;58.3;30.5;"masculino";2
"chimpanzé";83.5;39.7;32.8;"feminino";3
"chimpanzé";96.6;49.8;30.7;"masculino";3
"chimpanzé";77.5;53.1;29.1;"feminino";2
"bonobo";74.9;42.7;28.8;"masculino";4
"bonobo";71.7;37.8;28.3;"feminino";4
"chimpanzé";89.3;44.5;29.3;"feminino";1
"bonobo";64.8;36.6;27.6;"feminino";2
"chimpanzé";81;44.9;30.9;"feminino";5
"bonobo";74.9;37;27.1;"feminino";1
"bonobo";72.2;43.4;26.9;"masculino";3
"chimpanzé";81.4;47.3;30.3;"feminino";4
"chimpanzé";84.5;52.4;32.5;"masculino";4
"bonobo";71.9;38.6;30;"masculino";3
"chimpanzé";74.3;48.9;30.5;"feminino";6
"chimpanzé";89.5;52;31.4;"masculino";4
"chimpanzé";77.8;47.9;32.6;"feminino";4
"bonobo";71;39.7;27.1;"feminino";2
"bonobo";66.9;37.8;27.9;"feminino";1
"chimpanzé";78.4;45.8;28.8;"feminino";7
"bonobo";73.3;38;26.6;"feminino";4
"bonobo";75.8;35;29.4;"masculino";4
"chimpanzé";86.2;53.5;31.2;"masculino";2
"chimpanzé";84.2;48;29.9;"feminino";5
"bonobo";69.9;39.3;29.7;"feminino";5
"chimpanzé";75.2;41.2;30.8;"feminino";7
"bonobo";73.9;43.5;29.2;"masculino";4
"bonobo";75.7;41.4;28.4;"masculino";7
"chimpanzé";87.9;52.6;31.3;"masculino";5
"bonobo";67.5;40.6;26.5;"feminino";6
"bonobo";79.7;39.9;28.9;"masculino";7
"chimpanzé";84.9;49.6;35.6;"masculino";4
"bonobo";67.7;43.3;27;"masculino";5
"bonobo";73.6;38.5;27.5;"feminino";1
"bonobo";73.6;35.3;26.5;"masculino";4
"chimpanzé";81;43.6;29.7;"feminino";1
"chimpanzé";80.3;54.4;32.5;"masculino";1
"bonobo";75.4;41.7;27.8;"masculino";1
"bonobo";71.6;36.4;26.8;"feminino";3
"chimpanzé";80.2;41.7;30.7;"feminino";1
"bonobo";80.1;41.3;27.8;"masculino";2
"chimpanzé";82.1;50;27.9;"feminino";4
"bonobo";71.7;35.8;26.4;"feminino";7
"bonobo";67.1;37.7;25.9;"feminino";5
"chimpanzé";78.2;44;28.4;"feminino";6
"bonobo";74.6;37.9;26.1;"feminino";3
"chimpanzé";79.3;56.7;32.7;"masculino";3
"bonobo";72.5;38.7;28.1;"feminino";2
"bonobo";73.5;37.6;25.9;"feminino";1
"chimpanzé";80.1;46.5;29.6;"feminino";5
"chimpanzé";82;50;34.9;"masculino";5
"bonobo";68.3;41;26.9;"feminino";7
"bonobo";75;47.7;30.7;"masculino";2
"bonobo";71.2;40.9;31.1;"masculino";5
"bonobo";73.2;41.8;28.8;"masculino";2
"chimpanzé";87.1;53.8;32.7;"masculino";5
"chimpanzé";88.2;49.7;31.7;"masculino";1
"bonobo";75;41.2;27;"feminino";1
"chimpanzé";88.6;50.5;31.9;"masculino";7
"chimpanzé";79;44.4;32.8;"feminino";5
"chimpanzé";87.6;41;31.8;"feminino";3
"bonobo";77;38.3;27;"masculino";5
"chimpanzé";87.1;53.4;31.1;"masculino";5
"chimpanzé";81.5;49.3;29.3;"feminino";1
"chimpanzé";79.8;44;32.2;"masculino";5
"bonobo";77.3;47.2;31.3;"masculino";3
"chimpanzé";82.9;43.5;31;"feminino";6
"chimpanzé";74.4;46;28.8;"feminino";4
"bonobo";69.4;38.7;27.9;"feminino";3
"chimpanzé";88.2;52.9;32.9;"masculino";3
"chimpanzé";83.6;50.5;32.7;"masculino";6
"bonobo";73.2;39;25.5;"masculino";6
"bonobo";76.1;37.5;27.7;"feminino";5
"chimpanzé";77;43.7;28.9;"feminino";3
"bonobo";74.6;37;27.4;"feminino";3
"bonobo";75.8;36.9;26.5;"feminino";6
"bonobo";63.8;39.4;27.4;"feminino";1
"bonobo";77.5;41.8;25.1;"feminino";1
"chimpanzé";81.4;46.8;32;"feminino";6
"bonobo";70.8;36.9;25.9;"masculino";2
"chimpanzé";88.7;45.8;32.1;"masculino";4
"bonobo";72.8;39.6;27.9;"feminino";1
"bonobo";71.2;41.1;29.1;"feminino";4
"chimpanzé";84.1;54.3;34.8;"masculino";7
"chimpanzé";89.8;55.9;32.3;"masculino";6
"bonobo";71.5;41.6;29.3;"masculino";1
"chimpanzé";94.7;52;31.5;"masculino";7
"bonobo";65.4;40.5;27.2;"masculino";3
"bonobo";67.9;40;28.1;"feminino";6
"bonobo";66;37.7;29.6;"masculino";5
"chimpanzé";77.3;49.8;26.8;"feminino";4
"bonobo";69.1;38.6;25.2;"feminino";2
"chimpanzé";88.9;45.5;32.9;"feminino";6
"chimpanzé";82.2;51.7;33;"masculino";1
"chimpanzé";80.9;51.3;29.6;"feminino";3
"bonobo";71.3;39.9;29.5;"masculino";7
"bonobo";73.6;40.5;26.6;"masculino";1
"chimpanzé";84;45.7;30.4;"feminino";4
"bonobo";73.2;35.4;28.8;"masculino";4
"chimpanzé";75.4;50.2;29;"feminino";3
"bonobo";74.6;42.6;27.3;"masculino";6
"bonobo";76;39;29.5;"masculino";5
"bonobo";60.6;37.7;25.1;"feminino";2
"bonobo";73.1;34.3;28;"feminino";6
"chimpanzé";89.5;55.4;33.2;"masculino";5
"bonobo";78.1;35.8;26;"masculino";5
"chimpanzé";81;45.8;28.8;"feminino";6
"chimpanzé";77.9;51;30.1;"feminino";2
"chimpanzé";79;50.5;33.8;"masculino";1
"bonobo";71.6;41.4;28.7;"masculino";7
"chimpanzé";85.4;49.2;32;"masculino";5
"chimpanzé";86.5;44.9;32.4;"masculino";1
"bonobo";72.7;33.6;27.8;"feminino";3
"chimpanzé";88.2;47.2;32.9;"masculino";7
"bonobo";77.6;33.9;27.9;"masculino";2
"bonobo";66.5;43.2;30.9;"masculino";4
"bonobo";67.4;41;26.9;"masculino";7
"chimpanzé";79.9;51.1;30.7;"feminino";3
"chimpanzé";75;49.2;28.1;"feminino";1
"bonobo";71.3;38.4;28.9;"masculino";4
"bonobo";75.9;41.1;27.2;"masculino";1
"chimpanzé";88;53.3;33.8;"masculino";3
"bonobo";73.6;36.2;28.6;"masculino";4
"bonobo";80.7;40.7;28;"feminino";6
"chimpanzé";75.3;49.2;31.3;"feminino";4
"chimpanzé";87.1;51.2;31.8;"masculino";4
"chimpanzé";81.3;43.3;31.3;"feminino";1
"chimpanzé";71.4;44.2;28.2;"feminino";1
"bonobo";73.8;42.7;25.7;"masculino";4
"bonobo";75.6;43.7;27.1;"feminino";4
"chimpanzé";88.1;51.4;32.7;"masculino";2
"chimpanzé";83.6;47.1;29.2;"masculino";2
"chimpanzé";70;44.5;28.4;"feminino";3
"bonobo";71.1;34.6;29.3;"feminino";2
"chimpanzé";93.8;53.4;31.8;"masculino";4
"chimpanzé";77.8;44.9;28.9;"feminino";6
"bonobo";72.7;38.9;27.6;"feminino";2
"chimpanzé";87.4;47;30.1;"masculino";4
"chimpanzé";91.7;47.4;32.8;"masculino";5
"chimpanzé";80;39.4;30.7;"feminino";5
"chimpanzé";96.6;54;33.9;"masculino";3
"chimpanzé";85.1;41.9;32.3;"feminino";1
"bonobo";75.2;38.9;27.1;"masculino";5
"bonobo";78.4;42.2;27.4;"masculino";4
"bonobo";73.4;39;28.4;"masculino";2
"chimpanzé";83.7;51.6;33.2;"masculino";3
"bonobo";72.3;35.3;26.6;"feminino";3
"bonobo";71.5;39.8;30.3;"masculino";7
"chimpanzé";79.1;47.5;28.1;"feminino";1
"chimpanzé";81.7;47.5;28.7;"feminino";4
"chimpanzé";97.7;52.5;32.6;"masculino";7
"bonobo";69.8;38.5;25.3;"feminino";4
"chimpanzé";83.1;47;31.8;"feminino";1
"chimpanzé";71.4;46.6;29.6;"feminino";2
"bonobo";80.5;38.1;29.9;"masculino";7
"bonobo";80.9;38.7;30.9;"masculino";6
"chimpanzé";84.4;52.2;35.1;"masculino";3
"chimpanzé";89.6;49.8;31;"masculino";7
"bonobo";66;35.9;27.9;"feminino";1
"bonobo";73.8;34;27;"feminino";1
"bonobo";68.3;42.5;27.1;"masculino";2
"bonobo";76.1;36.8;29.8;"feminino";2
"bonobo";77.5;38.8;28.4;"feminino";4
"bonobo";73.5;33.7;29.9;"feminino";1
"bonobo";75.5;39.4;25.4;"feminino";1
"chimpanzé";84.5;47.1;32.9;"masculino";5
"bonobo";72.5;35.4;29.8;"feminino";6
"chimpanzé";82.9;46.8;31.2;"feminino";7
"bonobo";70.1;34.6;25.2;"feminino";1
"chimpanzé";84;51;32.9;"masculino";7
"bonobo";77.7;37.6;28.5;"masculino";4
"bonobo";73.5;41.4;26.4;"masculino";7
"bonobo";74;37.8;29.7;"masculino";1
"chimpanzé";89.6;46;34.3;"masculino";1
"chimpanzé";71.5;48.6;30.1;"feminino";2
"bonobo";72.4;40.3;30.2;"masculino";4
"chimpanzé";73.9;44.9;30.9;"feminino";7
"chimpanzé";84;41.8;29.2;"feminino";3
"chimpanzé";85.7;58.9;32.4;"masculino";1
"bonobo";70.8;37.2;27.1;"feminino";6
"bonobo";71.8;40.3;28.9;"masculino";5
"bonobo";74.9;34;27.6;"masculino";4
"chimpanzé";70.7;44.4;31.5;"feminino";5
"chimpanzé";76.5;41.9;31.9;"feminino";5
"bonobo";73.4;37.6;27.8;"masculino";1
"bonobo";75.4;36.3;26.4;"feminino";7
"chimpanzé";76.7;44.9;30.9;"feminino";3
"chimpanzé";78.1;48.5;31.8;"feminino";1
"bonobo";75.5;41.8;28.9;"masculino";7
"bonobo";73.8;40.8;27;"feminino";6
"bonobo";77.2;32.8;27.1;"feminino";4
"chimpanzé";90.5;51.1;33.8;"masculino";2
"bonobo";76.1;41.3;27.4;"masculino";5
"chimpanzé";76.2;40.8;29;"feminino";7
"chimpanzé";77;38.8;32;"feminino";6
"bonobo";74.4;40.5;27.2;"masculino";7
"bonobo";70.7;46.1;29.3;"masculino";1
"chimpanzé";82.7;57.1;33.3;"masculino";5
"bonobo";72.2;30.3;28.3;"feminino";7
"bonobo";78.3;44.6;27.9;"masculino";6
"chimpanzé";76.8;52.1;28.8;"feminino";2
"bonobo";71.6;33.9;29.3;"feminino";1
"bonobo";73.3;41.3;28.8;"masculino";4
"bonobo";78.5;44.6;27;"masculino";3
"chimpanzé";84.1;51;30.6;"masculino";1
"chimpanzé";90.1;55.1;32.6;"masculino";3
"chimpanzé";76.8;43.1;29.8;"feminino";2
"bonobo";70.8;43.4;29;"masculino";7
"chimpanzé";70;48.7;29.6;"feminino";7
"bonobo";75.6;47;30;"masculino";2
"chimpanzé";87;44.8;29;"feminino";3
"chimpanzé";78.6;45.5;30;"feminino";4
"chimpanzé";96.4;48.2;32.9;"masculino";3
"chimpanzé";82.2;47.6;29.3;"feminino";4
"bonobo";76.1;35.9;26;"feminino";4
"chimpanzé";79.1;48.5;30.1;"feminino";7
"chimpanzé";84;47;27.1;"feminino";4
"bonobo";67.9;40.2;27.2;"feminino";7
"chimpanzé";83.4;54;29;"masculino";5
"bonobo";78.4;41.4;27.6;"masculino";4
"chimpanzé";85.1;52.6;30.4;"masculino";2
"bonobo";72.7;35.2;30.1;"feminino";3
"bonobo";73.7;41.3;26;"masculino";1
"bonobo";74.9;40.4;29.4;"masculino";7
"bonobo";73.7;39.1;29.1;"feminino";2
"bonobo";70.6;36.7;25.9;"feminino";7
"chimpanzé";93.2;47.9;30.5;"masculino";5
"chimpanzé";90.7;52.9;33.1;"masculino";7
"chimpanzé";75.9;45.2;30.5;"feminino";4
"bonobo";77.6;42.2;28.4;"feminino";7
"bonobo";79.7;36.6;28.6;"feminino";6
"chimpanzé";80.1;51.5;32.5;"masculino";7
"bonobo";74.1;44;29.8;"masculino";2
"bonobo";68.8;40.5;27.4;"feminino";6
"bonobo";70.8;35;27.1;"feminino";3
"chimpanzé";86.9;58.7;31.7;"masculino";7
"chimpanzé";85.4;55.4;31.3;"masculino";1
"bonobo";71.9;42.2;27.6;"masculino";4
"chimpanzé";83.8;54.8;33.6;"masculino";4
"bonobo";62;41.2;28.3;"feminino";2
"bonobo";70.1;35.7;30.8;"feminino";1
"bonobo";74.5;38.3;25.7;"feminino";2
"chimpanzé";76;50.5;31.9;"feminino";3
"chimpanzé";87.8;53.7;32;"masculino";4
"bonobo";71.6;41.3;26.6;"feminino";3
"chimpanzé";84.5;49.3;33.4;"feminino";2
"bonobo";74.5;42;28.4;"masculino";5
"chimpanzé";85.9;48.4;33.2;"masculino";7
"bonobo";64.8;34.5;27.3;"feminino";4
"chimpanzé";79.1;49.1;34.9;"masculino";5
"chimpanzé";77;43.1;29.2;"feminino";1
"chimpanzé";83.7;46.8;29.6;"feminino";1
"bonobo";64.2;44.3;27.9;"masculino";2
"chimpanzé";97.5;48.6;32.2;"masculino";4
"bonobo";74.8;39.5;29.7;"feminino";2
"bonobo";67;40;28.9;"masculino";3
"bonobo";72.2;32.9;29.5;"feminino";6
"chimpanzé";76.7;46.8;30.4;"feminino";3
"chimpanzé";81.2;40.4;28.9;"feminino";4
"chimpanzé";79.9;46;29.2;"feminino";4
"chimpanzé";74.2;48.4;30.7;"feminino";2
"chimpanzé";94.7;50.8;33.3;"masculino";3
"bonobo";71.6;42.6;28.9;"feminino";2
"chimpanzé";91.8;50;33.2;"masculino";4
"bonobo";62.6;37.2;28.7;"feminino";6
"chimpanzé";84.7;49.1;32;"masculino";4
"chimpanzé";86.6;46.7;30.3;"feminino";6
"chimpanzé";79.2;43.3;26.3;"feminino";6
"chimpanzé";77.5;46.6;28.9;"feminino";4
"chimpanzé";86.5;46.9;29.1;"feminino";2
"bonobo";74.6;40.8;27.3;"masculino";6
"bonobo";76;35.3;29.9;"masculino";5
"bonobo";70.3;44.2;28.3;"masculino";7
"chimpanzé";90.7;53;33.8;"masculino";1
"chimpanzé";90.7;52;31;"masculino";2
"bonobo";71.1;35;27.7;"feminino";2
"chimpanzé";91.3;50.7;32.7;"masculino";3
"bonobo";65.2;35.9;28.9;"feminino";4
"chimpanzé";76.9;46.7;31.6;"feminino";4
"chimpanzé";77.3;45;30.3;"feminino";2
"bonobo";79.7;41.9;28.9;"feminino";2
"bonobo";73.9;35;29.2;"feminino";5
"bonobo";80;39.8;26.6;"masculino";7
"chimpanzé";75.8;48.5;29.9;"feminino";4
"chimpanzé";75.1;43.1;28.9;"feminino";2
"bonobo";79;40;30.4;"masculino";5
"chimpanzé";89.4;60.5;30.5;"masculino";4
"chimpanzé";81.5;47.5;30.9;"feminino";5
"chimpanzé";76.5;48.1;28.2;"feminino";3
"bonobo";73.2;41.8;27.2;"masculino";4
"chimpanzé";91;51;30.5;"masculino";3
"bonobo";72.7;39.6;30.7;"masculino";4
"bonobo";75;46.4;30.6;"masculino";7
"chimpanzé";88.2;52.9;32.3;"masculino";1
"chimpanzé";85.8;48.3;30.7;"feminino";5
"chimpanzé";95.6;48.9;31;"masculino";3
"chimpanzé";85.7;56;32.3;"masculino";7
"chimpanzé";76.3;41;30.4;"feminino";5
"chimpanzé";89.5;51.9;30.9;"masculino";2
"bonobo";71;40;26.6;"masculino";1
"chimpanzé";79.6;48.2;28.8;"feminino";7
"chimpanzé";95.3;50.9;30.6;"masculino";1
"chimpanzé";81.7;49.1;28.9;"feminino";2
"chimpanzé";79.6;51.7;29.6;"feminino";1
"chimpanzé";87.2;53.9;31.2;"masculino";3
"chimpanzé";78.1;44.3;31.1;"feminino";6
"bonobo";75.3;36.3;27.5;"masculino";6
"bonobo";76.6;47.3;27.4;"masculino";6
"bonobo";75;32;29;"feminino";1
"chimpanzé";91.6;49.4;32.4;"masculino";1
"chimpanzé";77.7;47.2;31.7;"feminino";5
"bonobo";75.4;45.4;28.4;"masculino";2
"chimpanzé";91.1;53;30.3;"masculino";7
"bonobo";72.5;39.3;30.5;"masculino";3
"chimpanzé";87.9;51.3;30.2;"masculino";6
"chimpanzé";82.8;43.7;31.6;"feminino";6
"bonobo";83;40.6;29.5;"masculino";1
"chimpanzé";82.5;45.4;30;"feminino";5
"chimpanzé";75.8;46.1;28.1;"feminino";7
"bonobo";77.6;36.9;27.3;"masculino";1
"bonobo";73.4;34.4;25.2;"feminino";2
"bonobo";65.3;35.5;30.4;"masculino";2
"bonobo";82.2;43.5;27.4;"masculino";3
"chimpanzé";86.6;45.3;30.5;"feminino";3
"bonobo";73.2;40.8;27.2;"masculino";1
"bonobo";69.2;40.5;29.4;"feminino";6
"bonobo";70.7;42.4;29.5;"masculino";1
"chimpanzé";93.9;55.4;31.6;"masculino";2
"chimpanzé";81.1;48.2;29.1;"feminino";1
"bonobo";68.3;37.8;26.5;"feminino";4
"bonobo";67.1;37.4;25.6;"feminino";6
"bonobo";81.8;40;28.8;"masculino";3
"chimpanzé";86.6;45;29.9;"feminino";5
"chimpanzé";85.2;53.3;32.6;"masculino";2
"bonobo";70.7;36.4;25.5;"feminino";1
"chimpanzé";83.9;52.3;32.3;"masculino";2
"chimpanzé";88.2;55;31.9;"masculino";6
"bonobo";75.6;42.7;28.2;"masculino";2
"bonobo";70.5;38.5;27.3;"feminino";6
"bonobo";67.6;43.7;26.2;"feminino";2
"chimpanzé";88.4;54.8;33.1;"masculino";3
"chimpanzé";90.7;52.7;29.9;"masculino";6
"bonobo";78.1;37.4;26.2;"feminino";7
"chimpanzé";77.8;46;32;"masculino";6
"bonobo";70;38.1;27;"masculino";6
"bonobo";68.3;39.6;28.6;"feminino";4
"bonobo";72.3;40.1;27.7;"masculino";4
"chimpanzé";88.9;45.7;32.7;"masculino";4
"bonobo";73.9;32.1;25.5;"feminino";7
"chimpanzé";84.8;56.2;32.4;"masculino";1
"chimpanzé";83.5;39.5;27.5;"feminino";1
"bonobo";77.9;38.5;25.5;"feminino";3
"chimpanzé";84.3;58.4;32.6;"masculino";1
"chimpanzé";89.4;56.6;30.1;"masculino";4
"bonobo";77.4;41.3;29.8;"masculino";6
"bonobo";71.2;38.6;27.9;"feminino";1
"chimpanzé";76.7;44.6;30.5;"feminino";7
"bonobo";71.7;42.2;27.5;"masculino";7
"bonobo";74.2;42.1;29.9;"masculino";4
"chimpanzé";79.2;50.2;31.6;"feminino";2
"bonobo";67.7;37.6;26.3;"feminino";6
"chimpanzé";78.5;41.5;30.5;"feminino";4
"chimpanzé";86.4;50.2;31.1;"masculino";1
"chimpanzé";91.9;51.4;31;"masculino";6
"chimpanzé";88.9;56;31.6;"masculino";6
"bonobo";77.8;36.7;25.4;"feminino";7
"chimpanzé";91.9;47.2;29.3;"feminino";1
"bonobo";81.9;34.4;30.8;"masculino";5
"chimpanzé";86.8;47.6;34.7;"masculino";7
"chimpanzé";92;49.1;31.4;"masculino";5
"chimpanzé";79;49;31.7;"feminino";6
"chimpanzé";90.2;49.9;30.1;"masculino";2
"bonobo";83.1;41.8;29.7;"masculino";1
"bonobo";75.6;35.9;27.5;"feminino";1
"chimpanzé";83.4;41;28.2;"feminino";3
"bonobo";70.7;44.8;24.6;"feminino";1
"bonobo";78.9;37.5;30;"masculino";6
"chimpanzé";82.8;47.1;30.8;"feminino";2
"chimpanzé";87.4;42.3;30.9;"feminino";5
"chimpanzé";77.4;51.1;31.3;"feminino";2
"chimpanzé";87.3;46.9;32.6;"masculino";2
"chimpanzé";75.8;49.9;30.5;"feminino";2
"bonobo";75.3;37.7;30.6;"masculino";3
"chimpanzé";80.8;43.7;28.6;"feminino";5
"chimpanzé";90.4;51.3;30;"masculino";4
"bonobo";75.4;38.1;27.4;"feminino";1
"chimpanzé";80;43;30.5;"feminino";6
"chimpanzé";83.6;48.5;32.4;"feminino";2
"bonobo";70.1;41.8;28.1;"masculino";1
"bonobo";65.9;36;28.4;"feminino";2
"chimpanzé";87.9;47.9;29.8;"masculino";3
"chimpanzé";90.6;55.4;33.6;"masculino";1
"chimpanzé";77.4;45.8;30.5;"feminino";7
"chimpanzé";80.3;42.6;29.6;"feminino";3
"bonobo";74.5;43.1;27.7;"feminino";5
"bonobo";79.3;42.3;27.5;"feminino";4
"chimpanzé";75.9;41.2;30.8;"feminino";1
"bonobo";77.8;40.6;29.9;"masculino";6
"bonobo";80.1;36.2;26.4;"feminino";3
"chimpanzé";86.6;51.6;33.2;"masculino";5
"bonobo";75.5;39.5;26.1;"masculino";4
"chimpanzé";92.5;52.4;32.3;"masculino";3
"bonobo";77.3;38.2;25.9;"feminino";6
"bonobo";75.4;39.1;27.5;"masculino";6
"bonobo";76.7;39.8;26.8;"feminino";7
"chimpanzé";86.3;60.6;32.5;"masculino";1
"bonobo";77.6;44;26.5;"masculino";4
"chimpanzé";86.4;52.6;28.4;"masculino";4
"chimpanzé";88.7;52.6;33.8;"masculino";3
"chimpanzé";78.2;41.2;28.4;"feminino";2
"chimpanzé";77.1;44.9;30.2;"feminino";1
"bonobo";72;45.1;27.8;"masculino";6
"chimpanzé";85.4;53.7;31.4;"masculino";4
"bonobo";69.4;40.3;27.8;"masculino";4
"bonobo";78.7;34.6;29.8;"masculino";5
"chimpanzé";90.7;48.2;30.9;"feminino";2
"bonobo";78;37;28.5;"feminino";4
"chimpanzé";84;46.8;31.1;"feminino";3
"bonobo";72.2;36.3;28.1;"feminino";4
"chimpanzé";92.4;52.9;30.3;"masculino";3
"bonobo";71.5;34;28.8;"feminino";5
"chimpanzé";79.5;47;29.3;"feminino";2
"bonobo";73.6;42.5;29.4;"masculino";2
