"country";"taxa_sobrevivencia";"fertilidade";"populacao_numerica"
"Sudan";0.836;6.84;9860000
"Senegal";0.702;7.19;3850000
"Singapore";0.965;4.63;1870000
"Solomon Islands";0.855;6.94;157000
"Sierra Leone";0.636;6.32;2470000
"El Salvador";0.833;6.64;3200000
"San Marino";0.9535;2.33;17300
"Somalia";0.746;7.26;3280000
"Serbia";0.9126;2.11;7030000
"South Sudan";0.657;7.17;3190000
"Sao Tome and Principe";0.9025;6.35;71700
"Suriname";0.9189;6.32;320000
"Slovak Republic";0.9593;2.77;4370000
"Slovenia";0.9774;2.43;1680000
"Sweden";0.9837;2.4;7730000
"Eswatini";0.806;6.8;388000
"Seychelles";0.9046;5.73;48300
"Syria";0.866;7.54;5440000
"Chad";0.721;6.34;3370000
"Togo";0.752;6.92;1850000
"Thailand";0.878;6.24;31100000
"Tajikistan";0.82;6.71;2490000
"Turkmenistan";0.831;6.74;1920000
"Timor-Leste";0.716;6.05;507000
"Tonga";0.9307;6.48;75900
"Trinidad and Tobago";0.9426;4.82;928000
"Tunisia";0.765;7.11;4560000
"Turkey";0.781;6.19;32300000
"Tuvalu";0.896;4.73;5720
"Taiwan";0.9511;4.99;13100000
"Tanzania";0.769;6.74;11500000
"Uganda";0.796;7.05;8850000
"Ukraine";0.9558;1.95;45400000
"Uruguay";0.9422;2.84;2680000
"USA";0.9729;2.98;1.96e+08
"Uzbekistan";0.844;6.8;9920000
"St. Vincent and the Grenadines";0.9062;6.74;90900
"Venezuela";0.9304;6.03;9700000
"Vietnam";0.9152;6.2;37100000
"Vanuatu";0.868;6.55;74400
"Samoa";0.883;7.64;128000
"Yemen";0.615;8.02;6200000
"South Africa";0.826;5.89;19100000
"Zambia";0.81;7.14;3690000
"Zimbabwe";0.871;7.25;4460000
